,data_light,data_batt,data_acce_x,data_acce_y,data_acce_z,data_temp,data_baro,data_magnx,data_magny,data_magnz,data_gyrox,data_gyroy,data_gyroz
77,0.48,76,0.104003906,0.079345703,-1.014160156,19.03,1008.89,59.67570208,60.87521368,-505.7440781,17.38739014,-26.5045166,4.089355469
78,0.56,76,0.100097656,0.054443359,-0.820556641,19.04,1008.92,54.87765568,66.42295482,-496.2979243,5.37109375,-87.76855469,-13.01574707
79,0.48,76,-0.048095703,-0.186035156,-1.020751953,19.04,1008.91,71.22100122,42.43272283,-516.6896215,13.07678223,-7.064819336,-52.07061768
80,0.4,76,0.306640625,-0.095947266,-1.022705078,19.02,1008.86,68.22222222,68.37216117,-522.9870574,45.0668335,-120.8496094,-23.19335938
81,0.64,76,0.086181641,-0.070068359,-0.984375,19.02,1008.85,66.42295482,70.47130647,-506.193895,5.996704102,-5.424499512,-16.96777344
82,0.56,76,0.187744141,0.247314453,-0.992919922,19.03,1008.79,86.36483516,68.37216117,-509.9423687,4.997253418,-12.11547852,-5.05065918
83,0.57,76,0.057617188,0.137207031,-0.996337891,19.03,1008.81,87.26446886,83.81587302,-501.0959707,17.92144775,178.9321899,-39.71862793
84,0.4,76,0.134521484,0.527099609,-0.470703125,19.04,1008.82,92.81221001,46.18119658,-488.6510379,6.454467773,-68.13049316,-4.806518555
85,0.81,76,0.150146484,0.05859375,-1.013427734,19.03,1008.81,93.41196581,68.67203907,-484.1528694,10.91766357,15.40374756,-41.96166992
86,0.96,76,0.211669922,0.107910156,-1.21484375,19.04,1008.82,101.5086691,67.77240537,-467.359707,8.888244629,-27.31323242,-14.793396
87,0.48,76,0.158691406,-0.066650391,-1.022705078,19.03,1008.86,65.37338217,55.47741148,-513.6908425,16.23535156,-0.907897949,-57.64007568
88,0.64,76,0.166992188,-0.045410156,-0.99609375,19.03,1008.83,54.72771673,69.72161172,-556.4234432,4.081726074,-17.60864258,-6.91986084
89,0.16,76,0.21484375,-0.051513672,-0.967285156,19.03,1008.9,66.72283272,56.37704518,-498.3970696,4.524230957,-20.14923096,12.79449463
90,0.24,76,0.141601563,-0.015869141,-1.089599609,19.03,1008.86,65.07350427,61.17509158,-507.8432234,7.484436035,-12.49694824,-48.53820801
91,0.48,76,0.142089844,0.095947266,-0.959228516,19.03,1008.9,49.92967033,69.57167277,-509.042735,12.02392578,-9.704589844,-33.04290771
92,0.48,76,0.147949219,0.032714844,-1.000488281,19.02,1008.85,69.87155067,66.42295482,-513.8407814,7.011413574,-7.034301758,-8.758544922
93,0.4,76,0.189941406,0.048339844,-1.020996094,19.03,1008.86,56.67692308,71.37094017,-603.5042735,5.69152832,-3.433227539,-5.752563477
94,0.4,76,0.1875,0.045898438,-1.0078125,19.03,1008.93,44.83174603,74.36971917,-568.8683761,6.484985352,-5.77545166,-6.370544434
95,0.56,76,0.166503906,-0.047363281,-0.986816406,19.02,1008.84,47.53064713,74.66959707,-569.7680098,5.386352539,-4.257202148,-4.531860352
96,0.56,76,0.221679688,0.032470703,-0.999511719,19.01,1008.81,46.03125763,74.21978022,-569.018315,5.546569824,-5.935668945,-6.500244141
97,0.48,76,0.165039063,0.052978516,-0.998779297,19.01,1008.84,44.98168498,74.21978022,-567.6688645,6.416320801,-5.752563477,-6.843566895
98,0.56,76,0.193115234,0.041992188,-0.993652344,19.02,1008.84,43.63223443,76.31892552,-570.6676435,5.645751953,-9.536743164,-5.45501709
99,0.48,76,0.326904297,0.083984375,-1.025146484,19.01,1008.9,74.51965812,69.27179487,-482.5035409,10.1776123,-12.23754883,-5.256652832
100,0.48,76,0.287353516,0.1171875,-1.027832031,19.02,1008.91,97.91013431,63.12429792,-513.8407814,0.686645508,22.0489502,-32.96661377
101,0.88,76,0.264160156,-0.151123047,-0.967041016,19.02,1008.83,94.46153846,86.21489621,-498.5470085,-2.670288086,-108.6578369,-7.789611816
102,0.4,76,0.259765625,0.063232422,-1.025146484,19.01,1008.84,86.06495726,64.02393162,-548.9264957,7.850646973,-4.272460938,-10.29205322
103,1.05,76,0.240478516,0.061767578,-0.903076172,19.01,1008.79,74.21978022,46.93089133,-444.8688645,8.270263672,-2.479553223,-33.08105469
104,0.88,76,0.182128906,-0.169921875,-0.989257813,19.02,1008.77,95.36117216,65.67326007,-479.8046398,10.26153564,5.157470703,-25.83312988
105,0.4,76,0.081298828,-0.104003906,-0.91015625,19.02,1008.85,67.92234432,60.42539683,-493.4490842,14.86206055,-2.548217773,-59.58557129
106,0.64,76,0.403564453,-0.055175781,-0.904296875,19.03,1008.89,59.22588523,63.57411477,-503.195116,7.369995117,-5.798339844,28.40423584
107,0.32,76,0.083251953,-0.265625,-0.962402344,19.01,1008.87,58.47619048,52.47863248,-499.4466422,18.19610596,-1.693725586,0.74005127
108,0.56,76,0.193359375,-0.052978516,-1.145996094,19.02,1008.93,78.41807082,54.27789988,-509.4925519,8.758544922,-18.08929443,-33.64562988
109,0.4,76,0.208740234,-0.012451172,-0.911132813,19.01,1008.84,59.07594628,71.22100122,-509.192674,5.104064941,-15.16723633,-13.24462891
110,0.4,76,0.25,-0.049804688,-1.134765625,19.01,1008.83,83.66593407,58.92600733,-489.4007326,6.080627441,-1.647949219,-6.767272949
111,0.4,76,0.206298828,0.078613281,-0.985351563,19.02,1008.85,83.21611722,65.52332112,-503.7948718,7.385253906,-5.767822266,-30.85327148
112,0.4,76,0.198486328,0.046386719,-1.045898438,19.01,1008.89,89.66349206,64.92356532,-500.196337,-0.450134277,13.55743408,-36.37695313
113,0.65,76,0.21875,-0.007324219,-0.962158203,19.01,1008.86,98.21001221,80.36727717,-504.9943834,13.61083984,-116.6305542,-12.67242432
